n_run,conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,first_run,second_run,compile_time
4,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00044608116149902344,0.00030875205993652344,0.0035016536712646484,0.003444194793701172,0.29013848304748535,0.0006971359252929688,0.609703779220581,0.001203775405883789,0.6085000038146973
4,f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004477500915527344,0.0004146099090576172,0.007536649703979492,0.01000833511352539,0.29512548446655273,0.0015473365783691406,0.6710271835327148,0.0024988651275634766,0.6685283184051514
4,f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00042629241943359375,0.0003209114074707031,0.014685869216918945,0.014292240142822266,0.3336050510406494,0.002240419387817383,0.6724951267242432,0.004981279373168945,0.6675138473510742
5,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0006778240203857422,0.0003178119659423828,0.0006213188171386719,0.0001952648162841797,0.35467982292175293,0.0002894401550292969,0.6181182861328125,0.0003802776336669922,0.6177380084991455
5,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.006696224212646484,0.0003006458282470703,0.0008203983306884766,0.0003674030303955078,0.2969987392425537,0.0002942085266113281,0.5812296867370605,0.00038313865661621094,0.5808465480804443
5,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00616002082824707,0.0003142356872558594,0.0013871192932128906,0.0009579658508300781,0.2828986644744873,0.00036454200744628906,0.6014328002929688,0.0005209445953369141,0.6009118556976318
5,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.000469207763671875,0.0003123283386230469,0.004163026809692383,0.0033926963806152344,0.2856588363647461,0.0007414817810058594,0.6029534339904785,0.0012056827545166016,0.6017477512359619
5,f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0003848075866699219,0.0003066062927246094,0.007650136947631836,0.007544755935668945,0.2880401611328125,0.0014102458953857422,0.601109504699707,0.002528667449951172,0.5985808372497559
5,f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00039124488830566406,0.00037169456481933594,0.01320028305053711,0.013158559799194336,0.2910275459289551,0.0020949840545654297,0.6105315685272217,0.004901409149169922,0.6056301593780518
6,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004334449768066406,0.00031685829162597656,0.00020241737365722656,0.0002231597900390625,0.31028032302856445,0.0003142356872558594,0.6053898334503174,0.0003745555877685547,0.6050152778625488
6,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.010970592498779297,0.0003077983856201172,0.0003941059112548828,0.00038623809814453125,0.29097890853881836,0.0004811286926269531,0.5821177959442139,0.0003712177276611328,0.5817465782165527
6,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0030221939086914062,0.0003120899200439453,0.0011830329895019531,0.0010089874267578125,0.3050706386566162,0.00036978721618652344,0.6012661457061768,0.0005145072937011719,0.6007516384124756
6,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00046896934509277344,0.0003199577331542969,0.0035724639892578125,0.003495454788208008,0.2920355796813965,0.0006988048553466797,0.6879100799560547,0.001199960708618164,0.6867101192474365
6,f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00038242340087890625,0.0003192424774169922,0.013268470764160156,0.0077457427978515625,0.30198121070861816,0.0014879703521728516,0.6448807716369629,0.002543210983276367,0.6423375606536865
6,f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00040721893310546875,0.0007731914520263672,0.014469385147094727,0.015015125274658203,0.33022618293762207,0.002193927764892578,0.9919509887695312,0.0051114559173583984,0.9868395328521729
7,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0005195140838623047,0.00024056434631347656,0.0002396106719970703,0.00029206275939941406,0.3058195114135742,0.0002982616424560547,0.5916638374328613,0.00040078163146972656,0.5912630558013916
