n_run,conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,first_run,second_run,compile_time
1,f16_m4,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0005106925964355469,0.00031304359436035156,0.0002677440643310547,0.00018262863159179688,0.28578853607177734,0.0003223419189453125,0.5734896659851074,0.00037407875061035156,0.5731155872344971
1,f16_m4,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.000438690185546875,0.00030517578125,0.00039696693420410156,0.0003752708435058594,0.30053067207336426,0.0002529621124267578,0.6060495376586914,0.0003674030303955078,0.6056821346282959
1,f16_m4,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0015048980712890625,0.000362396240234375,0.009601593017578125,0.0009589195251464844,0.27408862113952637,0.00035953521728515625,0.58327317237854,0.0005359649658203125,0.5827372074127197
1,f16_m4,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0011916160583496094,0.00028228759765625,0.003518342971801758,0.003497600555419922,0.29160022735595703,0.0007603168487548828,0.6301238536834717,0.0011742115020751953,0.6289496421813965
1,f16_m4,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0003933906555175781,0.000324249267578125,0.007548093795776367,0.0075070858001708984,0.2737410068511963,0.0014069080352783203,0.5886273384094238,0.0024805068969726562,0.5861468315124512
1,f16_m4,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0004150867462158203,0.0003769397735595703,0.013208389282226562,0.013172626495361328,0.2757449150085449,0.0021021366119384766,0.5943238735198975,0.004843235015869141,0.5894806385040283
2,f16_m4,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0013971328735351562,0.00030994415283203125,0.0006880760192871094,0.00022268295288085938,0.2916417121887207,0.0002970695495605469,0.5706131458282471,0.0003795623779296875,0.5702335834503174
2,f16_m4,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.008779525756835938,0.0003046989440917969,0.0018310546875,0.00034308433532714844,0.2841067314147949,0.0002884864807128906,0.5876634120941162,0.0003712177276611328,0.5872921943664551
2,f16_m4,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00993204116821289,0.000324249267578125,0.001039266586303711,0.0010263919830322266,0.2814328670501709,0.00036406517028808594,0.586137056350708,0.0005314350128173828,0.5856056213378906
2,f16_m4,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0004677772521972656,0.0002818107604980469,0.003622770309448242,0.0034427642822265625,0.27532267570495605,0.0006859302520751953,0.5932581424713135,0.0011522769927978516,0.5921058654785156
2,f16_m4,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00043463706970214844,0.00032401084899902344,0.007607221603393555,0.007546186447143555,0.2802700996398926,0.00138092041015625,0.5989036560058594,0.0024635791778564453,0.5964400768280029
2,f16_m4,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0004630088806152344,0.00031256675720214844,0.013186454772949219,0.013195991516113281,0.2732563018798828,0.002129077911376953,0.5928292274475098,0.004745960235595703,0.5880832672119141
3,f16_m4,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0031080245971679688,0.0002760887145996094,0.0002536773681640625,0.00018286705017089844,0.29332828521728516,0.0002617835998535156,0.5737674236297607,0.0003669261932373047,0.5734004974365234
3,f16_m4,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.005615949630737305,0.00030732154846191406,0.005214214324951172,0.00037097930908203125,0.2894444465637207,0.0002613067626953125,0.5696806907653809,0.00037670135498046875,0.5693039894104004
