m,run,tflops,power
512,68.51577758789062,3.9178633805280327,0
1024,142.89283752441406,15.028630442257752,0
2048,1381.2856674194336,12.437593170785616,0
4096,6774.0983963012695,20.288892400358865,0
8192,41492.084980010986,26.499310128803966,0
512,66.52355194091797,4.035194275831926,0
1024,116.71853065490723,18.398823528281905,0
2048,1369.9760437011719,12.54026978281044,0
4096,6999.3836879730225,19.635865041683616,0
8192,42343.94383430481,25.96620740095622,0
512,69.53644752502441,3.860356195265754,0
1024,120.3148365020752,17.848868106660813,0
2048,1275.045394897461,13.473927479563663,0
4096,7029.832363128662,19.55081520760932,0
8192,43277.21881866455,25.406245082038495,0
