conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,first_run,inference_avg,num_run,TFLOPs (avg),"Utilization (vs (8, 8) user grid)",Utilization (vs 8x11 full grid)
f16_m4,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0006184577941894531,0.0001964569091796875,0.0003437995910644531,9.560585021972656e-05,0.3010411262512207,0.00018095970153808594,0.5975050926208496,0.0002093362808227539,100,0.16028961567541514,0.18%,0.24%
f16_m4,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00024962425231933594,0.00022983551025390625,0.0001990795135498047,0.00016355514526367188,0.37563109397888184,0.00020551681518554688,0.7468070983886719,0.00023810863494873048,100,1.1273654819691838,1.25%,1.72%
f16_m4,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00024819374084472656,0.00021791458129882812,0.0004019737243652344,0.0003619194030761719,0.2926032543182373,0.0001995563507080078,0.6078746318817139,0.00022273540496826173,100,9.641411289354746,10.70%,14.71%
f16_m4,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00024390220642089844,0.0001995563507080078,0.001142263412475586,0.0011489391326904297,0.31656861305236816,0.00018835067749023438,0.6272239685058594,0.0009026455879211425,100,19.032795832488883,21.12%,29.04%
f16_m4,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00026798248291015625,0.0002014636993408203,0.002454042434692383,0.0022766590118408203,0.29232096672058105,0.0001888275146484375,0.6809530258178711,0.0022375297546386717,100,25.91342455929184,28.76%,39.54%
f16_m4,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0002636909484863281,0.00019931793212890625,0.004115581512451172,0.004034996032714844,0.2814335823059082,0.00018835067749023438,0.6063177585601807,0.004608616828918457,100,29.822169768939972,33.09%,45.51%
f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0002963542938232422,0.00020051002502441406,0.00016379356384277344,9.822845458984375e-05,0.3455169200897217,0.0001876354217529297,0.7244353294372559,0.00021598100662231445,100,0.1553582536017927,0.09%,0.12%
f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00017881393432617188,0.0002040863037109375,0.00015807151794433594,0.0001494884490966797,0.3045964241027832,0.00025391578674316406,0.5984859466552734,0.00020426273345947266,100,1.3141675500649252,0.73%,1.00%
f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0002689361572265625,0.0002090930938720703,0.0004165172576904297,0.00034880638122558594,0.33364295959472656,0.0001888275146484375,0.6666257381439209,0.00022269248962402343,100,9.643269297611443,5.35%,7.36%
f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0002453327178955078,0.00020813941955566406,0.0011487007141113281,0.0011219978332519531,0.3133218288421631,0.00020933151245117188,0.7263791561126709,0.000899815559387207,100,19.09265627246971,10.59%,14.57%
f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00026154518127441406,0.0001995563507080078,0.0024466514587402344,0.0023043155670166016,0.2820773124694824,0.0001842975616455078,0.6116647720336914,0.0022320795059204103,100,25.976699459946335,14.41%,19.82%
f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0002460479736328125,0.00022792816162109375,0.0045506954193115234,0.004186153411865234,0.3437647819519043,0.0002319812774658203,0.6928675174713135,0.0045809149742126465,100,30.00251134231597,16.65%,22.89%
