conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,first_run,second_run,compile_time
f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,864.9110794066501,315.5529499053,467.86308288565,220.29638290395002,313937.5960826874,300.7197380065,614709.8898887634,383.9683532714,614325.921535492
f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,7999.8505115508,325.55460929860004,1261.5454196929,378.5741329192,299146.20637893677,302.0691871642,617103.0306816101,377.4905204772,616725.5401611328
f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,5387.188196182151,325.6714344024,1948.537826538,989.12596702565,293075.17886161804,380.99765777575,617366.2555217743,531.83674812305,616834.4187736511
f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,665.8697128295,319.41175460805,3725.0614166259,3474.72071647635,295085.9367847442,713.5915756224499,631237.223148346,1234.7102165221,630002.5129318237
f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,680.204629898,324.74875450125,7836.548089980999,7629.0702819823,289667.45138168323,1435.4670047759,622559.0598583221,2562.4239444732,619996.6359138489
f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,726.0668277739501,338.92273902880004,13527.133464813149,13388.44776153555,290860.7673645019,2126.7652511595497,631871.9589710236,4809.4582557677,627062.5007152557
