m,run,tflops,power
256,24.558968014187283,1.3704453481475791,71.43466666666667
512,21.277003818088108,12.61760623026756,71.459
1024,35.50741407606336,60.480787100793926,71.52566666666667
2048,131.76149792141385,130.3862646238314,81.6835
3072,288.25971815321185,201.16956667854973,234.96916666666667
4096,644.9604034423828,213.1061323283184,264.37100000000004
8192,4448.770417107476,247.1499709282933,261.82033333333334
