mat_size, run, tflops, power
256,801.0172843933105,0.587303,33.8225
512,112.35237121582031,2.389228220954554,47.0335
1024,514.5692825317383,4.173361529538143,86.0615
2048,3159.756660461426,5.4370861525428955,128.3505
3072,9876.396656036377,5.870770536596646,157.337
4096,23012.356758117676,5.972397999762367,163.986
8192,179188.24672698975,6.1360700149670535,195.513
