conf,m,cores,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,utilization_vs_user_grid_perc,utilization_vs_full_grid_perc,run,tflops,voltage,current,power,aiclk,temp
f16_m4,256,64,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,,,284.2366091990095,,0.7599999999999972,35.0,26.0,1000.0,51.34854166666667
f16_m4,512,64,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,,,290.9671593249334,,0.7598933333333304,35.913333333333334,26.64666666666667,1000.0,51.86284722222222
f16_m4,1024,64,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,,,438.0959326485027,,0.7599644444444417,39.17,28.766666666666666,1000.0,51.819375
f16_m4,2048,64,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,,,989.1591103638287,,0.7599833333333306,43.11666666666667,33.56333333333333,1000.0,52.25020833333333
f16_m4,4096,64,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,,,4401.821958940015,,0.7599866666666638,43.0,34.0,1000.0,52.764375
f16_m4,256,72,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,,,288.5244782678012,,0.7599899999999972,35.0,26.0,1000.0,50.71958333333333
f16_m4,512,72,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,,,293.87883118714427,,0.7599733333333305,35.0,26.0,1000.0,51.1590625
f16_m4,1024,72,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,,,431.0821989844216,,0.7599316666666638,38.13666666666666,28.453333333333333,1000.0,51.48857638888889
f16_m4,2048,72,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,,,906.87388692711,,0.7599466666666638,42.73333333333333,33.47,1000.0,51.845416666666665
f16_m4,4096,72,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,,,3696.50770471825,,0.7599799999999971,42.99666666666667,33.97666666666667,1000.0,52.62166666666667
f16_m4,8192,1,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,40.58%,0.46%,2645677.54983902,0.41558791918648647,0.76,35.0,25.0,1000.0,50.09375
f16_m4,8192,2,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,40.52%,0.92%,1325115.7768567402,0.8297475941189925,0.76,36.5,26.5,1000.0,54.625
f16_m4,8192,4,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,40.50%,1.84%,662833.1812222799,1.6588059543858003,0.76,37.5,27.5,1000.0,55.625
f16_m4,8192,8,"(4, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,40.16%,3.65%,334234.02229944867,3.289646039656968,0.76,39.5,29.0,1000.0,56.53125
f16_m4,8192,16,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,39.54%,7.19%,169719.67935562134,6.478397979247553,0.7595000000000001,43.0,31.5,1000.0,57.84375
f16_m4,8192,32,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,37.87%,13.77%,88615.27681350708,12.407698393697375,0.76,49.5,37.0,1000.0,58.46875
f16_m4,8192,64,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,35.89%,26.10%,46745.804150899254,23.521076335037197,0.76,57.5,43.5,998.5,59.75
f16_m4,8192,72,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,41.09%,33.62%,36995.33700942993,29.720276030888428,0.76,52.0,39.0,990.5,48.5625
