conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,inference_avg,iters
f16_m4,256,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0012547270156469798,0.0004149252544377876,0.0003491187024631191,0.0004757431559669759,0.0005428567495486773,0.00042915671281000957,0.0005258013105088259,100
f16_m4,256,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0008763389898010687,0.00026819116738561457,0.00029465326686949333,0.00026546110441696204,0.00040216112730589163,0.0002858221690970573,0.0004147810879134536,100
f16_m4,256,"(3, 3)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0006059069585146653,0.00023874852845878143,0.00024588433621776666,0.0002247369746432993,0.00032525099912951634,0.0002536667858023308,0.0003584910550261929,100
f16_m4,256,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0004853365703419568,0.00022659552325653964,0.00022310352026549575,0.00020803721518578632,0.0002925539155749445,0.0002409809036071945,0.0003364809572337795,100
f16_m4,256,"(5, 5)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0004196998511839906,0.00022060438939064286,0.00021082089295376021,0.00019894211921941756,0.00027504733296253027,0.00023410139033593785,0.0003227997055378524,100
f16_m4,256,"(6, 6)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0003782593331159818,0.0002166509213041813,0.00020286021319132163,0.00019331648293934844,0.0002641956443073492,0.00022960175170923993,0.00031404995997092106,100
f16_m4,256,"(7, 7)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0003497943236602687,0.00021325539924397323,0.0001974353408645078,0.000189391026279657,0.0002564556439968016,0.00022676916249667338,0.00030853859567135514,100
f16_m4,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0003288606393785492,0.00020999852297698028,0.00019343618074235864,0.00018666442759540872,0.00025055819342204933,0.00022476424974999149,0.00030476645724975514,100
f16_m4,512,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00021096133033311946,0.0001908195463963613,0.00031901905289417225,0.0003256239280544536,0.00023898025793177914,0.00021637700605935765,0.0006103478392090151,100
f16_m4,512,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00020887296079704224,0.00019014009769537842,0.00031940681044577445,0.00032521028659969643,0.00023908976385747494,0.00021607504742607412,0.0005291850916855085,100
f16_m4,512,"(3, 3)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00020870728439324269,0.0001904351559129978,0.0003196014318754168,0.00032539914475796894,0.00024067012512343837,0.00021650401389134075,0.00044525403076502574,100
f16_m4,512,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00020861626479263214,0.00019095552459604047,0.00031976852779106834,0.00032580441260428067,0.00024252072617028734,0.0002178434219465098,0.000403469188129904,100
f16_m4,512,"(5, 5)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0002087698696017505,0.00019105554801211706,0.00031976478204142874,0.0003256505820204531,0.0002437905265368161,0.0002182735484397319,0.00037841327982756273,100
f16_m4,512,"(6, 6)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00021072514976317383,0.00019112622912028593,0.00032006623020180405,0.0003257437976286892,0.00024376826044531066,0.00021803358357335088,0.00036177241141412033,100
f16_m4,512,"(7, 7)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00021082614336881945,0.00019110503966393217,0.00032036750428511703,0.0003259589295836379,0.00024389066699327655,0.0002182135065225954,0.0003494508182599307,100
f16_m4,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00021083226762779342,0.00019118337382232955,0.000320345202407028,0.00032569635069789845,0.00024452871666425186,0.00021813564962891668,0.0003404860457811506,100
f16_m4,1024,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0002609855338784017,0.00019992868546191465,0.0009591197482734947,0.0009243446838093825,0.0003410565571984788,0.00032338523709297533,0.003199081889183765,100
f16_m4,1024,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.000257233174699657,0.00019791385281982187,0.0009610651649371821,0.0009259491349767363,0.000342344370696975,0.0003215373834690171,0.002498183597403291,100
f16_m4,1024,"(3, 3)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00025308968517406946,0.00019610312866920877,0.0009600627282594192,0.0009244047752405638,0.0003404872284361155,0.00031978471617501213,0.0018433033865083944,100
f16_m4,1024,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00024931922158969463,0.00019468322822066133,0.0009577768502240223,0.0009234724023293102,0.00033896191056788046,0.00031884991372409645,0.0014969018645870726,100
f16_m4,1024,"(5, 5)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0002486164271837648,0.00019519408367193677,0.0009578450887877489,0.0009239216698007353,0.00033878730920744443,0.0003193304258471904,0.0012755549869735837,100
f16_m4,1024,"(6, 6)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00024677905417305144,0.00019466108037433604,0.0009567722805657908,0.0009234169435625668,0.00033775350416157104,0.0003189582538477872,0.0011280229665205559,100
f16_m4,1024,"(7, 7)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00024763842724319726,0.00019480984500262709,0.0009566284563101381,0.0009239794786846538,0.0003378641073168875,0.00031914092089205715,0.0010225723225818365,100
f16_m4,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0002576478274559275,0.00019650374509581702,0.0009603500398452981,0.0009280947052548478,0.0003405382726823453,0.0003216998676516631,0.0009456052271453794,100
f16_m4,2048,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.005534745703521066,0.0002370991552012032,0.0034596624878331346,0.0034617114122046356,0.0007162609880655031,0.0006723446405927051,0.022093738958536724,100
f16_m4,2048,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0029824696049703847,0.0003276284887180105,0.0038020798678672207,0.0035953329567556137,0.0010831932981189506,0.0007356357904879469,0.017334474967109288,100
f16_m4,2048,"(3, 3)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0025152022005283598,0.00033081383571619623,0.0038837321385583735,0.0035749073837685053,0.0010586750189557877,0.000735615399112447,0.01225839238759095,100
f16_m4,2048,"(4, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0020787303134737266,0.00033090739763111886,0.003844025909214009,0.003548031589148638,0.0009989215680637432,0.0007501460011286993,0.009577509397155699,100
f16_m4,2048,"(5, 5)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.001743496035574926,0.0003234415549913438,0.003768284004469834,0.003519439363539994,0.0009478206458828481,0.0007335501636069673,0.008086290107077048,100
f16_m4,2048,"(6, 6)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.001490212773460932,0.0003030681837909533,0.0037087198303974588,0.0034982268359264024,0.00090351261479454,0.0007197650929344509,0.007092571323346481,100
f16_m4,2048,"(7, 7)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0013105534495011307,0.00028636004145475796,0.003668089548094054,0.003484342903538182,0.0008704904973791007,0.0007085127093995525,0.006195996519072953,100
