m,run,tflops,power,powermon
256,21.364545822143555,1.570566127608577,81.635,81.7235
512,20.37496566772461,13.174768506492299,91.5585,91.61250000000001
1024,35.28447151184082,60.86200404841955,122.6325,141.38636363636363
2048,136.83710098266602,125.5497892064834,97.7025,319.20866
3072,308.54320526123047,187.92200737951447,267.175,392.57867857142855
4096,697.7964878082275,196.96137179436732,244.299,372.27697142857147
8192,4781.396150588989,229.95618709413114,261.328,397.6581808375634
256,24.805450439453125,1.3527039987401963,82.0745,84.16740000000001
512,24.92039203643799,10.771718823985603,89.451,97.23466666666668
1024,41.75400733947754,51.431797444974805,131.4695,153.35887499999998
2048,171.95963859558105,99.90640434180048,195.8375,304.6723818181818
3072,363.36801052093506,159.56841773956717,220.47,292.044625
4096,822.2712278366089,167.14552184149883,177.13,341.12593781344026
8192,6058.117938041687,181.49392914120483,229.766,332.80981467521053
256,29.290366172790527,1.1455791232535222,82.322,83.77232558139534
512,28.703856468200684,9.351895146820562,88.132,93.23654545454546
1024,50.264859199523926,42.72335946422664,111.1465,146.3635764705882
2048,200.02858638763428,85.88706991463324,185.5355,237.18097231833912
3072,469.8279142379761,123.41126769796625,211.0095,326.4107456258412
4096,1008.0018520355226,136.3479176099337,236.878,303.7487644829453
8192,7655.2719831466675,143.62802917997047,208.5775,280.3018083595686
