m,run,tflops,power
256,41.43555959065755,0.8097979689784496,40.1195
512,36.720434824625656,7.310247203826148,48.789
1024,71.37616475423177,30.086845593264794,87.2305
2048,302.2289276123047,56.84389419545607,109.1795
3072,898.9151318868002,64.50226104693235,75.988
4096,1982.6277097066245,69.3216143399596,149.2125
8192,15109.50485865275,72.76953401595708,140.5795
256,31.73987070719401,1.057169775817477,38.272
512,37.016868591308594,7.251706214367023,48.887
1024,61.375300089518234,34.98937919436341,91.501
2048,302.68828074137366,56.75762914217025,99.928
3072,909.6924463907877,63.738089423567594,59.0205
4096,1988.0119959513345,69.13386526434444,112.378
8192,15149.253209431967,72.57860256051704,149.811
256,31.900405883789066,1.0518496887543198,40.7015
512,36.661624908447266,7.321973771493945,41.78
1024,61.49133046468099,34.92335637839969,91.2625
2048,302.66125996907556,56.76269630859052,126.94
3072,901.8492698669434,64.29240498753693,105.118
4096,1993.728478749593,68.93564240913969,105.85
8192,15130.866368611652,72.66679917660832,150.792
256,41.88140233357747,0.8011773754074727,40.318
512,36.781628926595054,7.298085045002099,41.974
1024,70.82780202229817,30.31978385160003,87.857
2048,301.6122182210286,56.96012345033775,128.563
3072,898.0933825174967,64.56128017942542,110.144
4096,1989.2088572184243,69.09226900597324,150.821
8192,15113.673210144043,72.74946417645356,110.4095
256,31.473636627197262,1.066112327515552,38.461
512,36.75699234008789,7.302976628673698,49.1305
1024,61.07966105143229,35.15873551085534,90.5085
2048,296.9916661580404,57.84630055867611,127.577
3072,897.7452913920084,64.5863131246228,101.506
4096,1990.4247919718425,69.05006108562593,147.5505
8192,15136.826833089191,72.63818499743032,103.8115
256,31.74384435017904,1.0570374410184111,46.1975
512,36.64175669352213,7.325943956378502,47.7645
1024,61.583518981933594,34.87107725412695,89.4235
2048,299.9480565388997,57.27614768449742,134.3525
3072,903.8893381754557,64.14729773562722,62.2115
4096,1993.121306101481,68.95664255419997,95.708
8192,15156.471729278564,72.54403580300387,135.446
