m,run,tflops,power,powermon
256,33.18333625793457,1.0151890988851424,44.77316666666667,44.79475819916518
512,36.7425282796224,7.30609857767377,53.67016666666666,55.65282967032967
1024,61.90053621927897,34.694542810990505,95.51483333333334,112.19740866107885
2048,274.7776508331299,62.54945934168959,113.59833333333334,195.9816070858162
3072,813.8711452484131,71.24392951217004,125.46516666666668,243.51609342336988
4096,1758.3159605662029,78.16595316113995,105.47566666666667,245.06101515444095
8192,13358.453353246054,82.30879954042386,111.27916666666668,246.76358951965383
