m,run,tflops,power,powermon
256,21.87962532043457,1.534443016382522,81.5975,82.27208333333334
512,20.597517490386963,13.033939544773297,91.16874999999999,91.1545
1024,35.79782247543335,60.00156453448059,119.9545,137.90954545454545
2048,136.74073219299316,125.6383335190929,168.0405,304.66314632653064
3072,303.8742423057556,190.8544452458472,252.39350000000002,400.3910485055724
4096,690.6165361404419,199.0305807920031,242.03525000000002,390.24709999999993
8192,4788.880693912506,229.59734931600383,253.49649999999997,396.6152656879394
