conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,inference_avg,voltage,current,power,aiclk,temp, iters
f16_m4,256,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1249.100173764485,493.8562074222892,677.8460799742928,296.03036009690607,360.340354446435,397.20856481365865,768.2652954004654,0.7600000000000002,36.0,27.0,1000.0,54.62145833333334,100
f16_m4,512,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,270.8816593707639,232.500003652078,362.7206192145574,362.2040268900014,277.7727211854622,273.6419264597679,661.5239271657159,0.7600000000000002,36.0,27.0,1000.0,54.485,100
f16_m4,1024,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,277.3111371330227,196.7472608464689,955.1271162003618,910.3523442419314,343.19240833724183,314.7015925310392,3100.0150991944533,0.7600000000000002,36.0,27.0,1000.0,54.586875,100
f16_m4,2048,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1768.305299821348,227.66265755445673,3452.338145101547,3387.791933085386,706.2613405114237,663.0745309947948,22301.63569509291,0.7599700000000005,37.15,27.21,1000.0,54.419375,100
f16_m4,3072,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,3948.615978552718,351.8107298128796,7688.05480840054,7601.801313673266,1490.0950520700762,1394.7315874901353,73300.98556285878,0.759955,38.66,28.66,1000.0,54.176875,100
f16_m4,4096,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,24847.206029167923,279.488215994171,13355.494809568905,13271.901794868409,2130.367520007133,2096.7987776479576,171923.2234083059,0.7599850000000002,39.99,29.99,1000.0,53.8221875,100
f16_m4,5120,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,31910.59243999313,281.7542219131101,20575.66859744792,20549.73221723198,3023.668966486541,2993.043580024418,333757.3600593475,0.7599600000000002,40.0,30.0,1000.0,53.10875,100
f16_m4,6144,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,53596.5120735109,287.31314997545456,29555.81983925017,29506.810630209548,4503.050138845703,4473.296837470758,575340.2150458212,0.7599700000000003,40.0,30.0,1000.0,52.39375,100
f16_m4,7168,"(1, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,37832.99570011612,284.97457455150544,40434.115233080294,40415.13725771962,5760.313617453014,5728.014929256304,910500.0390710306,0.7599800000000002,40.0,30.0,1000.0,51.786875,100
f16_m4,256,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,2166.343520007821,418.3400926626493,936.2974570544732,277.8549973287831,896.8638355606837,344.60312420559467,765.9719573497365,0.7600000000000002,35.0,26.0,1000.0,50.5796875,100
f16_m4,512,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1559.3416863441705,607.5599207856295,696.8619593200987,588.7799567028163,711.5734255874236,426.7827032831027,1010.7148735606997,0.7600000000000002,35.0,26.0,1000.0,50.6515625,100
f16_m4,1024,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,909.0881549310644,451.3783936776301,1989.6756843292112,1169.237377726295,666.4392579304506,668.433778342213,2021.5983046310555,0.7599800000000002,35.6,26.0,1000.0,50.773125,100
f16_m4,2048,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,390.7356443995517,223.62904033289738,3397.7411231928895,3369.8801030688396,706.640488167108,665.3370186705254,11338.217051010946,0.7600000000000002,36.94,26.94,1000.0,50.7953125,100
f16_m4,3072,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1366.7057596125287,314.00407479615063,7640.41408790604,8104.9976660726115,1496.4766164413888,1462.4886410526046,37131.911180996896,0.7599950000000003,37.13,27.13,1000.0,50.9846875,100
f16_m4,4096,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,4480.266550229387,306.45550400788073,13639.070738785245,13666.523144599758,2169.1138500930156,2188.3951033140447,86844.34660804775,0.7599400000000003,39.36,29.0,1000.0,51.1025,100
f16_m4,5120,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,4139.324142576202,306.8556637627826,20948.960565024896,20818.227456352248,3045.105220182958,3015.082588817078,168539.97386439226,0.7599600000000004,40.0,29.0,1000.0,51.054375,100
f16_m4,6144,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,24388.602564465084,288.7602610578835,29539.45255469941,29484.072617977516,4504.430463815174,4478.450035420246,290208.87869933684,0.7599800000000003,40.0,29.0,1000.0,51.08375,100
f16_m4,7168,"(2, 1)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,15034.203883891116,288.3874899677138,40311.20065901216,40274.16822122037,5761.771745671745,5744.491057964329,459691.3622070565,0.7599800000000003,40.0,30.0,1000.0,51.209375,100
f16_m4,256,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1320.1696997191723,250.52005328415774,382.659003011862,222.03652018789415,363.4725199387512,255.1775458440335,410.8325246093385,0.7600000000000002,35.0,26.0,1000.0,49.9584375,100
f16_m4,512,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,443.88131356045204,226.84895088516564,585.7895663639875,346.38930407049753,289.5402971229972,242.4787977704105,404.8586708367575,0.7600000000000002,35.0,26.0,1000.0,50.29625,100
f16_m4,1024,"(2, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,258.5830178584299,195.38958009805444,943.6503744686916,912.4846499054523,337.04952611241686,318.5212781061341,1036.9884697137916,0.7599600000000002,35.94,26.93,1000.0,50.06,100
